# Machine-generated by the test-strategy lane 2026-07-30 rev2 (method: proofs/TESTING-STRATEGY.md "Method").
# Two axes, never collapsed:
#   oracle_today: real-PG = fleet-run pg_regress/e2e differential (expected output minted from real PostgreSQL 18.3);
#                 vendored-C = in-process compare vs vendored REL_18_STABLE C; none = nothing tests this function.
#   input_coverage_today: fixed-corpus(route) = reached by the hand-written regress/e2e corpus via the named route
#                 (a handful of literals, NOT exploration); random(native-diff) = mass-random driver exists;
#                 none = not reached. Coverage-guided fuzzing reaches ZERO rows today. sqlsmith/simharness
#                 randomized SQL is per-function unattributable and credited to no row.
#   state_mockability (state class only): mockable-now = state already behind an existing seam/sim cfg;
#                 mockable-in-process = in-process with mock catalog rows / fabricated context, no server;
#                 mockable-with-new-seam; mixed-triage; irreducible = only meaningful in a live server.
#   test_strategy: cgf-* = coverage-guided differential fuzzing (primary technique; see strategy doc).
name	class	oracle_today	input_coverage_today	state_mockability	test_strategy
be_lo_export	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lo_import_with_oid	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
hash_array_extended	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
dist_polyc	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
pg_client_encoding	state	none	none	mockable-now	cgf-native-diff(seam-mock)
current_query	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
textlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
textnlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
namelike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
namenlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
current_database	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
generate_series_timestamp	SRF	real-PG	fixed-corpus(named)		cgf-sql-differential-pinned-state
generate_series_timestamptz	SRF	real-PG	fixed-corpus(proname)		cgf-sql-differential-pinned-state
be_lo_open	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lo_close	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_loread	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lowrite	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lo_lseek	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lo_creat	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
be_lo_tell	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
close_pl	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
be_lo_unlink	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
path_length	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
lseg_intersect	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
be_lo_truncate	state	real-PG	fixed-corpus(proname)	irreducible	cgf-sql-differential-pinned-state
textlike_support	engine	real-PG	fixed-corpus(named)		estimate-diff-monitor
texticregexeq_support	engine	none	none		estimate-diff-monitor
texticlike_support	engine	none	none		estimate-diff-monitor
aclitemin	state	real-PG	fixed-corpus(type-literal)	mockable-in-process	cgf-native-diff(seam-mock)
aclitemout	state	real-PG	fixed-corpus(type-literal)	mockable-in-process	cgf-native-diff(seam-mock)
bpcharout	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
varcharout	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_prepared_xact	state	none	none	mixed-triage	triage-then-cgf-or-invariant
generate_series_step_int4	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
generate_series_int4	blocked	real-PG	fixed-corpus(named)		cgf-sql-differential
generate_series_step_int8	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
generate_series_int8	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
text_regclass	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
format_type	catalog	real-PG	fixed-corpus(named)		cgf-sql-differential
date_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
date_out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_stat_get_wal	state	none	none	irreducible	invariant-only
pg_get_wal_replay_pause_state	state	none	none	mockable-with-new-seam	cgf-native-diff(seam-mock)
time_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
time_out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
circle_mul_pt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
circle_div_pt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
timestamptz_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
timestamptz_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
interval_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
interval_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
network_subset_support	blocked	none	none		cgf-sql-differential
date_timestamptz	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
jsonb_path_exists_tz	engine	none	none		cgf-native-diff(engine-kernel)
timestamptz_date	wall	real-PG	fixed-corpus(named)		cgf-native-diff
jsonb_path_query_tz	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
jsonb_path_query_array_tz	engine	none	none		cgf-native-diff(engine-kernel)
generate_subscripts	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
generate_subscripts_nodir	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
array_fill	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
timestamptz_age	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
obj_description	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
col_description	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
timestamptz_trunc	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
texticregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
texticregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
nameicregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
nameicregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
unique_key_recheck	state	none	none	mockable-with-new-seam	cgf-sql-differential-pinned-state
nameregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
textregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
textregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
parse_ident	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
timestamptz_trunc_zone	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
array_fill_with_lower_bounds	typcache	real-PG	fixed-corpus(proname)		cgf-native-diff(typcache-mock)
quote_nullable	wall	real-PG	fixed-corpus(named)		cgf-native-diff
suppress_redundant_updates_trigger	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-sql-differential-pinned-state
unnest	typcache	real-PG	fixed-corpus(named)		cgf-native-diff(typcache-mock)
now	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
timestamp_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
timestamp_out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
timestamp_time	wall	real-PG	fixed-corpus(named)		cgf-native-diff
interval_div	wall	real-PG+vendored-C	random(native-diff)		cgf-native-diff
timetz_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
timetz_out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
textregexeq_support	engine	none	none		estimate-diff-monitor
pg_lock_status	state	none	none	irreducible	invariant-only
factorial	wall	real-PG	fixed-corpus(named)		cgf-native-diff
time_part	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
pg_get_constraintdef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
timestamptz_timetz	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_stat_get_backend_start	state	none	none	irreducible	invariant-only
pg_stat_get_backend_client_addr	state	none	none	irreducible	invariant-only
pg_stat_get_backend_client_port	state	none	none	irreducible	invariant-only
current_schema	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
current_schemas	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
textoverlay	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
textoverlay_no_len	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
line_parallel	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
path_add	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
path_mul_pt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
path_div_pt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
circle_in	blocked	real-PG	fixed-corpus(type-literal)		cgf-sql-differential
circle_out	wall	real-PG	fixed-corpus(type-literal)		cgf-native-diff
poly_circle	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
circle_poly	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
circle_box	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
close_ls	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
close_lseg	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
line_in	blocked	none	none		cgf-sql-differential
line_out	wall	none	none		cgf-native-diff
line_interpt	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
line_intersect	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
line_parallel	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
path_length	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
poly_center	wall	real-PG	fixed-corpus(named)		cgf-native-diff
like	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
notlike	engine	none	none		cgf-native-diff(engine-kernel)
like	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
notlike	engine	none	none		cgf-native-diff(engine-kernel)
pg_get_ruledef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
drandom	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
setseed	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
interval_mul	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
pg_typeof	state	real-PG	fixed-corpus(named)	mixed-triage	triage-then-cgf-or-invariant
similar_escape	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
mul_d_interval	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
bpcharlike	engine	real-PG	fixed-corpus(operator)		cgf-native-diff(engine-kernel)
bpcharnlike	engine	none	none		cgf-native-diff(engine-kernel)
texticlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
texticnlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
nameiclike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
nameicnlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
like_escape	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
pg_get_viewdef_name	state	real-PG	fixed-corpus(proname)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_viewdef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_userbyid	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_indexdef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
bpcharicregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
bpcharicregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
bpcharregexeq	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
bpcharregexne	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
bpchariclike	engine	none	none		cgf-native-diff(engine-kernel)
bpcharicnlike	engine	none	none		cgf-native-diff(engine-kernel)
pg_get_triggerdef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_serial_sequence	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_keywords	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
aclexplode	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
numeric_in	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_out	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_convert_from	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
pg_get_expr	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_convert_to	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
sqrt	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_sqrt	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
exp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_exp	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
ln	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_ln	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
log	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_log	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
pow	wall	real-PG	fixed-corpus(named)		cgf-native-diff
numeric_power	wall	real-PG	fixed-corpus(operator)		cgf-native-diff
float4_numeric	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
float8_numeric	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
numeric_float4	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
numeric_float8	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
interval_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
timestamptz_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
numeric_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
int4_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
int8_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
float4_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
float8_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
numeric_to_number	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
to_timestamp	wall	real-PG	fixed-corpus(named)		cgf-native-diff
to_date	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_convert	blocked	real-PG	fixed-corpus(proname)		cgf-sql-differential
numeric_accum	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
int2_accum	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
int4_accum	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
int8_accum	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
numeric_avg	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
numeric_var_samp	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
numeric_stddev_samp	state	real-PG	fixed-corpus(aggregate)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_table_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_stat_get_numscans	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_tuples_returned	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_tuples_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_tuples_inserted	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_tuples_updated	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_tuples_deleted	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_blocks_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_blocks_hit	state	none	none	irreducible	invariant-only
pg_stat_get_backend_idset	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_backend_pid	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_stat_get_backend_dbid	state	none	none	irreducible	invariant-only
pg_stat_get_backend_userid	state	none	none	irreducible	invariant-only
pg_stat_get_backend_activity	state	none	none	irreducible	invariant-only
pg_stat_get_db_numbackends	state	none	none	irreducible	invariant-only
pg_stat_get_db_xact_commit	state	none	none	irreducible	invariant-only
pg_stat_get_db_xact_rollback	state	none	none	irreducible	invariant-only
pg_stat_get_db_blocks_fetched	state	none	none	irreducible	invariant-only
pg_stat_get_db_blocks_hit	state	none	none	irreducible	invariant-only
pg_stat_get_tuples_hot_updated	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
similar_to_escape_2	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
similar_to_escape_1	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
shobj_description	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
bytealike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
byteanlike	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
like	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
notlike	engine	none	none		cgf-native-diff(engine-kernel)
like_escape	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
timestamptz_time	wall	real-PG	fixed-corpus(named)		cgf-native-diff
timestamp_trunc	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
pg_stat_get_activity	state	none	none	irreducible	invariant-only
jsonb_path_query_first_tz	engine	none	none		cgf-native-diff(engine-kernel)
pg_backend_pid	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
timestamp_date	wall	real-PG	fixed-corpus(named)		cgf-native-diff
jsonb_path_match_tz	engine	none	none		cgf-native-diff(engine-kernel)
pg_conf_load_time	state	none	none	mixed-triage	triage-then-cgf-or-invariant
timetz_zone	state	real-PG	fixed-corpus(named)	mockable-in-process	cgf-native-diff(seam-mock)
time_timetz	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
timestamp_to_char	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
timestamp_age	wall	real-PG	fixed-corpus(proname)		cgf-native-diff
textregexsubstr	engine	real-PG	fixed-corpus(named)		cgf-native-diff(engine-kernel)
show_config_by_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
set_config_by_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
pg_table_is_visible	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_type_is_visible	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_function_is_visible	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_operator_is_visible	state	none	none	mixed-triage	triage-then-cgf-or-invariant
pg_opclass_is_visible	state	none	none	mixed-triage	triage-then-cgf-or-invariant
show_all_settings	state	none	none	mockable-in-process	cgf-native-diff(seam-mock)
replace_text	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_terminate_backend	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_get_functiondef	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_stat_force_next_flush	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_get_function_arguments	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_get_function_result	state	real-PG	fixed-corpus(named)	mockable-with-new-seam	cgf-native-diff(seam-mock)
pg_database_size_name	state	none	none	mixed-triage	triage-then-cgf-or-invariant
power	wall	real-PG	fixed-corpus(named)		cgf-native-diff
pg_cancel_backend	state	real-PG	fixed-corpus(named)	irreducible	invariant-only
pg_backup_start	state	none	none	irreducible	invariant-only
has_sequence_privilege_name_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_sequence_privilege_name_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_sequence_privilege_id_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_sequence_privilege_id_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_sequence_privilege_name	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
has_sequence_privilege_id	state	real-PG	fixed-corpus(proname)	mockable-in-process	cgf-native-diff(seam-mock)
inet_client_addr	blocked	none	none		cgf-sql-differential
inet_client_port	blocked	none	none		cgf-sql-differential
inet_server_addr	blocked	none	none		cgf-sql-differential
inet_server_port	blocked	none	none		cgf-sql-differential
regprocedurein	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
regprocedureout	state	real-PG	fixed-corpus(named)	mockable-now	cgf-native-diff(seam-mock)
