family	harness	flags	expected	tier	time_s	notes
bool	eq_boolle	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	1	
bool	eq_boolge	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	1	
bool	eq_parse_bool_with_len_l0	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	unwind(12)
bool	eq_parse_bool_with_len_l1	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	eq_parse_bool_with_len_l2	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	eq_parse_bool_with_len_l3	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	eq_parse_bool_with_len_l4	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	eq_parse_bool_with_len_l5	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	eq_parse_bool_with_len_l6	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.3	
bool	cover_parse_bool_with_len_split	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	unmeasured	?	union-coverage harness for the l0-l6 case-split
bool	eq_bool_accum	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.11	added to run-all.sh 2026-07-28
bool	eq_bool_accum_inv	-Z c-ffi -Z stubbing --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.42	needs -Z stubbing; added to run-all.sh 2026-07-28
bool	eq_bool_alltrue	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.05	added to run-all.sh 2026-07-28
bool	eq_bool_anytrue	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.04	added to run-all.sh 2026-07-28
bool	eq_int4_bool	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.02	added to run-all.sh 2026-07-28
bool	eq_bool_int4	-Z c-ffi --c-lib c/pg_bool.c --solver kissat	green	per-commit	0.02	added to run-all.sh 2026-07-28
bool	control_negative_boollt_vs_c_boolle	-Z c-ffi --c-lib c/pg_bool.c	must-fail	defect-witness	?	DEFAULT solver (run-all.sh reconciled 2026-07-28)
bool-parse	parse_bool_equiv	-Z c-ffi --c-lib csrc/bool_shim.c	green	per-commit	7.7	recipe INFERRED; run.log 7.67s; unwind(12) len<=8
brin-bloom	proofs::eq_summary_in	-Z c-ffi -Z stubbing --c-lib c/pg_brin_bloom.c --exact	green	per-commit	0.46	ledger 4596 error-class-only 0A000; DEFAULT solver; w2-brin 2026-07-30
brin-bloom	proofs::eq_summary_recv	-Z c-ffi -Z stubbing --c-lib c/pg_brin_bloom.c --exact	green	per-commit	1.0	ledger 4598 error-class-only 0A000; DEFAULT solver
brin-bloom	proofs::eq_summary_send_l0	-Z c-ffi -Z stubbing --c-lib c/pg_brin_bloom.c --exact	green	calibration	102.4	ledger 4599 byteasend-delegation identity cell len 0; DEFAULT solver; mcx-stubs
brin-bloom	proofs::eq_summary_send_l8	-Z c-ffi -Z stubbing --c-lib c/pg_brin_bloom.c --exact	green	calibration	113.9	ledger 4599 identity cell len 8, symbolic content
brin-bloom	proofs::control_summary_send_lastbyte	-Z c-ffi -Z stubbing --c-lib c/pg_brin_bloom.c --exact	must-fail	defect-witness	150.9	bloom-family rig witness; fails on exactly out[i]==cimg[i] (verified 2026-07-30); DEFAULT solver
brin-minmax	proofs::eq_opcinfo	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	doc+run-all.sh reconciled: default solver everywhere (2026-07-28)
brin-minmax	proofs::eq_int4_add_value	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	seam_stubs!; unwind(20)
brin-minmax	proofs::eq_date_add_value	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_add_value	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	byref datumCopy path
brin-minmax	proofs::eq_int4_consistent_lt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_int4_consistent_le	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_int4_consistent_eq	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_int4_consistent_ge	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_int4_consistent_gt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_consistent_lt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_consistent_le	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_consistent_eq	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_consistent_ge	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_consistent_gt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_consistent_lt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_consistent_le	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_consistent_eq	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_consistent_ge	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_consistent_gt	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_int4_union	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_date_union	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::eq_uuid_union	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	green	unmeasured	?	
brin-minmax	proofs::control_seam_skew	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	must-fail	defect-witness	?	DEFAULT solver mandatory
brin-minmax	proofs::probe_fmgr_invoke	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	rig probe, not ledger row; not in run-all.sh; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_bdesc_consistent_concrete	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_cache_roundtrip	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_bdesc_attr	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_bdesc_cache	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_lsyscache_stub_attach	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_c_side_only	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_replicated_no_try	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_replicated_noformat	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_replicated_noearly	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_replicated_procinfo	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_const_none_repeat	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_const_none_in_vec	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_const_none_in_vec_push	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::probe_const_none_local_opaque	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	probe; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	proofs::cal_int4_add_value_engaged	-Z c-ffi -Z stubbing --c-lib c/pg_brin_minmax.c --exact	missing	unmeasured	?	calibration harness; name repaired: no such harness in cargo kani list (pattern-name superseded or not landed)
brin-minmax	dist_proofs::eq_dist_int2	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	0.83	ledger 4621 full-i16; w2-brin 2026-07-30
brin-minmax	dist_proofs::eq_dist_int4	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	1.79	ledger 4622 full-i32
brin-minmax	dist_proofs::eq_dist_int8	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	3.88	ledger 4623 full-i64 (per-side f64 widen)
brin-minmax	dist_proofs::eq_dist_date	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	2.11	ledger 4629 full-i32
brin-minmax	dist_proofs::eq_dist_timestamp	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	3.76	ledger 4637 full-i64
brin-minmax	dist_proofs::eq_dist_pg_lsn	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	0.41	ledger 4633 full-u64 wrapping_sub
brin-minmax	dist_proofs::eq_dist_float4	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	2.79	ledger 4624 NaN lattice + a1<=a2 plane
brin-minmax	dist_proofs::eq_dist_float8	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	release-gate	12.2	ledger 4625 NaN lattice + a1<=a2 plane
brin-minmax	dist_proofs::eq_dist_tid	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	7.84	ledger 4627 u32-wrap claim + MaxHeapTuplesPerPage wiring assert
brin-minmax	dist_proofs::eq_dist_time	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	0.38	ledger 4630 contract [0,USECS_PER_DAY]; wrap plane = native_dist_wrap (fleet-decode 2026-07-30)
brin-minmax	dist_proofs::eq_dist_timetz	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	3.37	ledger 4632 contract times x |zone|<=86400; zone-wrap plane = staged divergence candidate (probe below)
brin-minmax	dist_proofs::probe_dist_timetz_zone_wrap	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --exact	must-fail	defect-witness	0.63	EXPECTED-FAIL divergence witness (C int32-subtracts zones before widening); DEFAULT solver; a PASS = plane closed, re-examine (fleet-decode 2026-07-30)
brin-minmax	dist_proofs::eq_dist_macaddr	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	calibration	111.5	ledger 4634 full 6-byte lex-fenced pairs; kissat (w2-brin 2026-07-30, load~11)
brin-minmax	dist_proofs::eq_dist_macaddr8	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	wall-recorded	calibration	?	wall(timeout-450s BOTH solvers, load 13-27) w2-brin 2026-07-30; live for fleet retry tier; native_dist_chains 4.0M 0 diffs
brin-minmax	dist_proofs::eq_dist_uuid	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	wall-recorded	calibration	?	wall(timeout-450s BOTH solvers, load 13-47) w2-brin 2026-07-30; live for fleet retry tier; native_dist_chains 4.0M 0 diffs
brin-minmax	dist_proofs::eq_dist_inet_mismatch	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	per-commit	1.02	ledger 4636 family-mismatch constant-1.0 arm
brin-minmax	dist_proofs::eq_dist_inet_v4	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	green	calibration	39.4	ledger 4636 full 4-byte + bits, masked-prefix fence
brin-minmax	dist_proofs::eq_dist_inet_v6	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --solver kissat --exact	wall-recorded	calibration	?	wall(timeout-450s BOTH solvers) w2-brin 2026-07-30; live for fleet retry tier; native_dist_chains 2.0M 0 diffs
brin-minmax	dist_proofs::eq_summary_in	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --exact	green	per-commit	0.49	ledger 4638 error-class-only 0A000; DEFAULT solver
brin-minmax	dist_proofs::eq_summary_recv	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --exact	green	per-commit	1.82	ledger 4640 error-class-only 0A000; DEFAULT solver
brin-minmax	dist_proofs::control_dist_int4_swapped	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_dist.c --no-overflow-checks --exact	must-fail	defect-witness	0.22	distance-lane rig witness; fails on exactly the to_bits parity assert (verified 2026-07-30); DEFAULT solver
brin-minmax	send_proofs::eq_summary_send_l0	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_send.c --exact	green	calibration	126.5	ledger 4641 byteasend-delegation identity cell len 0; DEFAULT solver; mcx-stubs; w2-brin 2026-07-30
brin-minmax	send_proofs::eq_summary_send_l8	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_send.c --exact	green	calibration	134.9	ledger 4641 identity cell len 8, symbolic content
brin-minmax	send_proofs::control_summary_send_lastbyte	-Z c-ffi -Z stubbing --c-lib c/pg_brin_multi_send.c --exact	must-fail	defect-witness	96.3	send-lane rig witness; fails on exactly out[i]==cimg[i] (verified 2026-07-30); DEFAULT solver
brin-minmax	native_dist_chains	cargo run --release --bin native_dist_chains	green	unmeasured	?	native differential: macaddr8/uuid/macaddr/inet v4+v6, 14M checks 0 diffs (1.5s); backs the wall-recorded rows above; tested(differential) grade
bytea-cmp	eq_byteaeq	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	ledger 0.2-2.4s; unwind(10)
bytea-cmp	eq_byteane	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	0.2-2.4s
bytea-cmp	eq_bytealt	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	0.2-2.4s
bytea-cmp	eq_byteale	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	0.2-2.4s
bytea-cmp	eq_byteagt	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	0.2-2.4s
bytea-cmp	eq_byteage	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	0.2-2.4s
bytea-cmp	eq_byteacmp	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.4	exact int32 value incl memcmp magnitude
bytea-cmp	eq_bytea_larger	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	2.9	RAN 2026-07-30 lane pick-a: proved 2.9s (ledger 6393)
bytea-cmp	eq_bytea_smaller	-Z c-ffi --c-lib c/pg_bytea_cmp.c --solver kissat	green	per-commit	3.2	RAN 2026-07-30 lane pick-a: proved 3.2s (ledger 6394)
bytea-cmp	control_byteacmp_short_c_len	-Z c-ffi --c-lib c/pg_bytea_cmp.c	must-fail	defect-witness	?	DEFAULT solver mandatory
bytea-varbit	eq_esc_enc_len	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c --solver kissat	green	per-commit	1	sub-second class
bytea-varbit	eq_esc_encode	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c	green	release-gate	29	DEFAULT solver (29s default / 44s kissat); unwind(35)
bytea-varbit	eq_esc_dec_len	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c	green	release-gate	30	DEFAULT solver, 20-37s band; stubbed PgError::new
bytea-varbit	eq_esc_decode	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c	green	release-gate	30	DEFAULT solver, 20-37s band
bytea-varbit	eq_byteaout_hex	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c	green	release-gate	23	DEFAULT solver; ledger 23s; unwind(20)
bytea-varbit	eq_bit_cmp	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c --solver kissat	green	per-commit	1	SIGN equality only (ratified)
bytea-varbit	eq_pad_last	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c --solver kissat	green	per-commit	1	valid-varbit fence
bytea-varbit	control_esc_enc_len_off_by_one	-Z c-ffi -Z stubbing --c-lib c/pg_bytea_varbit.c	must-fail	defect-witness	0.6	DEFAULT solver; verified failing 0.6s 2026-07-28
cash	eq_cash_eq	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_ne	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_lt	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_le	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_gt	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_ge	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cash_cmp	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.15	eq_op2!
cash	eq_cashlarger	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.17	eq_op2!
cash	eq_cashsmaller	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	0.17	eq_op2!
cash	eq_cash_pl	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	2.5	fallible_op!; needs -Z stubbing
cash	eq_cash_mi	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c --solver kissat	green	per-commit	2.5	fallible_op!
cash	control_cash_lt_vs_c_le	-Z c-ffi -Z stubbing --c-lib c/pg_cash.c	must-fail	defect-witness	?	DEFAULT solver mandatory
casts	eq_i2toi4	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	infallible_int!; family band 0.2-6.7s
casts	eq_int48	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	infallible_int!
casts	eq_int28	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	infallible_int!
casts	eq_int4_bool	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	infallible_int!
casts	eq_bool_int4	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	hand-written
casts	eq_ftod	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	infallible_float!
casts	eq_i4tod	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	
casts	eq_i2tod	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	
casts	eq_i4tof	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	
casts	eq_i2tof	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	
casts	eq_i8tod	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	
casts	eq_i8tof	-Z c-ffi --c-lib c/pg_casts.c --solver kissat	green	per-commit	0.3	i64->f32 double rounding in-theorem
casts	eq_int84	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	fallible_int!; stubbed PgError::error
casts	eq_int82	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	fallible_int!
casts	eq_i4toi2	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	fallible_int!
casts	eq_dtoi4	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	fallible_float_to_int!; 3.9-6.7s
casts	eq_dtoi2	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	3.9-6.7s band
casts	eq_ftoi4	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	3.9-6.7s band
casts	eq_ftoi2	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	3.9-6.7s band
casts	eq_dtoi8	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	3.9-6.7s band
casts	eq_ftoi8	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	3.9-6.7s band
casts	eq_dtof	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c --solver kissat	green	per-commit	6.7	hand-written; 3 cover! arms
casts	control_dtoi4_trunc_vs_rint	-Z c-ffi -Z stubbing --c-lib c/pg_casts.c	must-fail	defect-witness	?	DEFAULT solver mandatory; deliberate trunc variant
char	proofs::charout_equiv_and_roundtrip	-Z c-ffi -Z stubbing --c-lib csrc/char_shim.c --solver kissat --exact	green	per-commit	0.61	8-bit datum-value parity claim (shim widening platform-split, fleet-adjudicated); re-verified 2026-07-30
char	proofs::charin_equiv	-Z c-ffi -Z stubbing --c-lib csrc/char_shim.c --solver kissat --exact	green	per-commit	0.97	8-bit datum-value parity claim; re-verified 2026-07-30
char	eq_chartoi4	-Z c-ffi --c-lib csrc/char_shim.c --solver kissat	green	per-commit	0.02	ledger
char	proofs::eq_i4tochar	-Z c-ffi -Z stubbing --c-lib csrc/char_shim.c --solver kissat --exact	green	per-commit	0.63	stubs PgError::error; 8-bit datum-value parity claim; re-verified 2026-07-30
char	proofs::eq_text_char	-Z c-ffi -Z stubbing --c-lib csrc/char_shim.c --solver kissat --exact	green	per-commit	0.42	unwind(10); 8-bit datum-value parity claim; re-verified 2026-07-30
char	eq_char_text_value_core	-Z c-ffi --c-lib csrc/char_shim.c --solver kissat	green	unmeasured	?	value core full-i8 proved; no time recorded
