# runtime-cost-constants.tsv — the step-1 runtime cost model's constants of
# record (runtime-cost-model-design.md §3 rule 1: a routing constant without
# provenance and an automated honesty check is a latent regression).
# Structural twin of m5-coverage.tsv. Pinned against
# costsize/src/runtime_model.rs by its `constants_match_tsv` unit test;
# generated by scripts/runtime-cost-fit.py from the WITNESSED v2 ladder
# (M5ROWFLIP2 rows of scripts/m5-rowflip-measure-v2.sh: per-leg engine
# pins, serial/legacy negative witnesses, legacy Workers-Launched witness,
# runtime dop-pinned engagement, fast-profile server; the contaminated v1
# record is retired — scratchpad/night/hj-ladder-v2-and-seat-letter.md).
# Units: legacy-row-equivalents (ratio-normalized — legacy per-row work
# == 1; verdicts are ratio comparisons, absolute anchor cancels; step 2
# rebases to cost units via the t34 anchor).
# Model: t_rt = c_engage + w_row*N/D; t_leg = l_setup + N/min(D,l_cap);
# suppress iff t_rt/t_leg <= 1.0 && N >= n_min_fit.
#
# ROUTING STATUS (t36 flips2): the THREE witnessed rot cells decide by
# curve at default — PGRUST_M5_COST_ROUTE unset = CbPlainAggFold,
# CbGroupedAggTextKey, CbHashJoinPlainAgg (GL-COST class flip letters,
# notes/gl-cost-class-flip-letters.md); `shadow` is the kill that restores
# floors-decide everywhere; every other curve-modeled class stays SHADOW.
# The witnessed record contradicts three shipped rectangles at
# measured cells (the runtime_model disagreement pin):
#   CbPlainAggFold 1M@dop4 suppressed at 1.258x loss;
#   CbGroupedAggTextKey 1M/2.5M@dop4 suppressed at 1.130/1.339x loss;
#   CbHashJoinPlainAgg 1M@dop4 suppressed at 1.319x loss;
#   CbHashJoinPlainAgg 2.5M@dop16 kept at a 0.923 forgone win.
# Each is a flip-gate candidate needing its GL-COST-<class> letter.
# Heap-scan classes engaged at dop<DOP in some cells (runtime witness
# dopN-MISMATCH, a scan-program item): their ratios are honest
# "what suppression delivers" wall ratios.
# Term classes beyond the curve terms:
#   admission_*      — executor-admission MIRROR, never retired by cost
#                      routing (m5-5 reading #3).
#   curve_reuse      — class rides another class's fitted curve (value =
#   rectangle_max_rows — a guarded-off/bounded rectangle OF RECORD set by
#                      witnessed cells (GL-COST-2 unwire rows); the note
#                      carries the grid and the reopen path.
#                      that class), matching the shipped guard reuse.
#   hold_groups_min  — classify-time groupby-high HOLD; retired at step 2.
# WITNESS column (the witnessed-ladder-discipline census; pinned by
# runtime_model::witness_census_is_pinned):
#   witnessed-v2      — fit from WITNESSED M5ROWFLIP2 cells (per-leg engine
#                       pins + negative witnesses; the vehicle of record).
#   witnessed-ab      — pinned by a timed unforced A/B with its fleet
#                       letter in the provenance columns.
#   unwitnessed-reuse — rides another class's fitted curve with NO witnessed
#                       cells of its own. UNUSABLE as fit evidence: the row
#                       may keep following its host curve (the shipped guard
#                       reuse it mirrors) but may NOT be refit, re-anchored,
#                       or flipped to an own curve until its ladder cells are
#                       witnessed (specs: notes/runtime-cost-ladder-specs.md;
#                       owner GL-COST-2 / GL-AGGPOLY-1).
#   structural        — not an economics constant (admission mirror /
#                       no-curve marker); witness status not applicable.
#   witnessed-refutes-reuse — the class HAS witnessed cells of its own and
#                       they CONTRADICT the host curve it rides; the reuse
#                       stays wired only because unwiring is a routing
#                       change that must ride its GL letter — the row's
#                       note carries the measured grid and the urgency.
#   unwitnessed-debt  — a NAMED cell where two routing mechanisms disagree
#                       and neither side has the witnessed measurement that
#                       adjudicates it; the census + ladder spec own filling
#                       it. Like unwitnessed-reuse, unusable as fit evidence.
class	term	value	unit	fit_jobs	sha	date	ladder_script	owning_arm_killswitch	note	witness
CbGroupedAggTextKey	l_cap	5.76	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTextKey	n_min_fit	1000000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTopN	c_engage	461286.3	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTopN	w_row	1.6395	legacy-row-equiv/row	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTopN	l_setup	1903979.4	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTopN	l_cap	6.06	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbGroupedAggTopN	n_min_fit	1000000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbHashJoinPlainAgg	c_engage	35092.4	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	R2 REFIT (soak-adj round-2 §R2.4, both-geometry grid: jobs pgrust-fast-tests-1a8e9c93be-1784671{860-1bff,866-72b0,870-4fba} dense cells + the original nine-job one-clause cells; legacy side FROZEN at its witnessed fit so the R1 serial ratios stand): rt side re-expressed as w_row*N/D + wout_rt*OUT — the dense-seat control proved PAGES INERT on the join family, OUT_ROWS is the split (one-clause OUT~N keeps at dop4, two-clause OUT~0 suppresses 0.485-0.745 witnessed); verdict-hinge holds every non-parity cell, the 5M@dop16 parity cell (1.024) flips to suppressed-at-parity (M5-5 bar)	witnessed-v2
CbHashJoinPlainAgg	w_row	0.9898	legacy-row-equiv/row	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	R2 REFIT (soak-adj round-2 §R2.4, both-geometry grid: jobs pgrust-fast-tests-1a8e9c93be-1784671{860-1bff,866-72b0,870-4fba} dense cells + the original nine-job one-clause cells; legacy side FROZEN at its witnessed fit so the R1 serial ratios stand): rt side re-expressed as w_row*N/D + wout_rt*OUT — the dense-seat control proved PAGES INERT on the join family, OUT_ROWS is the split (one-clause OUT~N keeps at dop4, two-clause OUT~0 suppresses 0.485-0.745 witnessed); verdict-hinge holds every non-parity cell, the 5M@dop16 parity cell (1.024) flips to suppressed-at-parity (M5-5 bar)	witnessed-v2
CbHashJoinPlainAgg	l_setup	48931.8	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbHashJoinPlainAgg	l_cap	11.79	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbHashJoinPlainAgg	n_min_fit	1000000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbPlainAggFold	c_engage	0.0	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbPlainAggFold	w_row	1.2712	legacy-row-equiv/row	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbPlainAggFold	l_setup	18206.0	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbPlainAggFold	l_cap	12.66	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbPlainAggFold	n_min_fit	1000000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
CbTopnBoundedIntKeys	c_engage	305844.2	legacy-row-equiv	-214f/-6a7c/-7ea6/-3383 (dist -17ce/-7912; dup -743c/-0282; k_band 100..1000)	8c11541a17	2026-07-21	scripts/sortecon-topn-ladder.sh (five-posture)	PGRUST_RUNTIME_TOPN_HEAP	GL-TOPNHEAP-1 RE-REFIT (the car flip): under the flipped PGRUST_RUNTIME_TOPN_HEAP the routed arm is the direct morsel-native CAR (payload-carrying entries + whole-granule key-lane accept, GL-TOPNHEAP-1 letter); ratios are car / forced-Gather-Merge from the FIVE-posture vehicle's SORTECON5 legs, k=1000 SKIP-DEAD plane (zone-skips witnessed 0 — upper-bounds the car for smaller in-band k), 16 cells 1M-10M x dop{2,4,8,16}, car wins ALL (0.854-0.971), rms 3.1pc, zero hinge violations; legacy params FROZEN at the L6/27db94812 values (same GM posture; ser_* rows fit against them); THE K AXIS = routed-admission band TOPN_CAR_K_MIN/MAX 100..1000 (k=10 out of band: serial zone walk owns it, car/serial 1.00-1.16; above 1000 unmeasured, fail toward incumbent); decide-list entry gated on the knob spelling + band (killed/out-of-band = the GL-COST-TOPN-1 guard-off keep-Gather byte-exactly); dist confirms -17ce/-7912 and dup band -743c/-0282 @ 48b0e56c0d reproduce the verdict	witnessed-v2
CbTopnBoundedIntKeys	w_row	0.8711	legacy-row-equiv/row	-214f/-6a7c/-7ea6/-3383 (dist -17ce/-7912; dup -743c/-0282; k_band 100..1000)	8c11541a17	2026-07-21	scripts/sortecon-topn-ladder.sh (five-posture)	PGRUST_RUNTIME_TOPN_HEAP	GL-TOPNHEAP-1 RE-REFIT (the car flip): under the flipped PGRUST_RUNTIME_TOPN_HEAP the routed arm is the direct morsel-native CAR (payload-carrying entries + whole-granule key-lane accept, GL-TOPNHEAP-1 letter); ratios are car / forced-Gather-Merge from the FIVE-posture vehicle's SORTECON5 legs, k=1000 SKIP-DEAD plane (zone-skips witnessed 0 — upper-bounds the car for smaller in-band k), 16 cells 1M-10M x dop{2,4,8,16}, car wins ALL (0.854-0.971), rms 3.1pc, zero hinge violations; legacy params FROZEN at the L6/27db94812 values (same GM posture; ser_* rows fit against them); THE K AXIS = routed-admission band TOPN_CAR_K_MIN/MAX 100..1000 (k=10 out of band: serial zone walk owns it, car/serial 1.00-1.16; above 1000 unmeasured, fail toward incumbent); decide-list entry gated on the knob spelling + band (killed/out-of-band = the GL-COST-TOPN-1 guard-off keep-Gather byte-exactly); dist confirms -17ce/-7912 and dup band -743c/-0282 @ 48b0e56c0d reproduce the verdict	witnessed-v2
CbTopnBoundedIntKeys	l_setup	322122.7	legacy-row-equiv	-214f/-6a7c/-7ea6/-3383 (dist -17ce/-7912; dup -743c/-0282; k_band 100..1000)	8c11541a17	2026-07-21	scripts/sortecon-topn-ladder.sh (five-posture)	PGRUST_RUNTIME_TOPN_HEAP	GL-TOPNHEAP-1 RE-REFIT (the car flip): under the flipped PGRUST_RUNTIME_TOPN_HEAP the routed arm is the direct morsel-native CAR (payload-carrying entries + whole-granule key-lane accept, GL-TOPNHEAP-1 letter); ratios are car / forced-Gather-Merge from the FIVE-posture vehicle's SORTECON5 legs, k=1000 SKIP-DEAD plane (zone-skips witnessed 0 — upper-bounds the car for smaller in-band k), 16 cells 1M-10M x dop{2,4,8,16}, car wins ALL (0.854-0.971), rms 3.1pc, zero hinge violations; legacy params FROZEN at the L6/27db94812 values (same GM posture; ser_* rows fit against them); THE K AXIS = routed-admission band TOPN_CAR_K_MIN/MAX 100..1000 (k=10 out of band: serial zone walk owns it, car/serial 1.00-1.16; above 1000 unmeasured, fail toward incumbent); decide-list entry gated on the knob spelling + band (killed/out-of-band = the GL-COST-TOPN-1 guard-off keep-Gather byte-exactly); dist confirms -17ce/-7912 and dup band -743c/-0282 @ 48b0e56c0d reproduce the verdict	witnessed-v2
CbTopnBoundedIntKeys	l_cap	16.00	workers	-214f/-6a7c/-7ea6/-3383 (dist -17ce/-7912; dup -743c/-0282; k_band 100..1000)	8c11541a17	2026-07-21	scripts/sortecon-topn-ladder.sh (five-posture)	PGRUST_RUNTIME_TOPN_HEAP	GL-TOPNHEAP-1 RE-REFIT (the car flip): under the flipped PGRUST_RUNTIME_TOPN_HEAP the routed arm is the direct morsel-native CAR (payload-carrying entries + whole-granule key-lane accept, GL-TOPNHEAP-1 letter); ratios are car / forced-Gather-Merge from the FIVE-posture vehicle's SORTECON5 legs, k=1000 SKIP-DEAD plane (zone-skips witnessed 0 — upper-bounds the car for smaller in-band k), 16 cells 1M-10M x dop{2,4,8,16}, car wins ALL (0.854-0.971), rms 3.1pc, zero hinge violations; legacy params FROZEN at the L6/27db94812 values (same GM posture; ser_* rows fit against them); THE K AXIS = routed-admission band TOPN_CAR_K_MIN/MAX 100..1000 (k=10 out of band: serial zone walk owns it, car/serial 1.00-1.16; above 1000 unmeasured, fail toward incumbent); decide-list entry gated on the knob spelling + band (killed/out-of-band = the GL-COST-TOPN-1 guard-off keep-Gather byte-exactly); dist confirms -17ce/-7912 and dup band -743c/-0282 @ 48b0e56c0d reproduce the verdict	witnessed-v2
CbTopnBoundedIntKeys	n_min_fit	1000000.0	rows	-214f/-6a7c/-7ea6/-3383 (dist -17ce/-7912; dup -743c/-0282; k_band 100..1000)	8c11541a17	2026-07-21	scripts/sortecon-topn-ladder.sh (five-posture)	PGRUST_RUNTIME_TOPN_HEAP	GL-TOPNHEAP-1 RE-REFIT (the car flip): under the flipped PGRUST_RUNTIME_TOPN_HEAP the routed arm is the direct morsel-native CAR (payload-carrying entries + whole-granule key-lane accept, GL-TOPNHEAP-1 letter); ratios are car / forced-Gather-Merge from the FIVE-posture vehicle's SORTECON5 legs, k=1000 SKIP-DEAD plane (zone-skips witnessed 0 — upper-bounds the car for smaller in-band k), 16 cells 1M-10M x dop{2,4,8,16}, car wins ALL (0.854-0.971), rms 3.1pc, zero hinge violations; legacy params FROZEN at the L6/27db94812 values (same GM posture; ser_* rows fit against them); THE K AXIS = routed-admission band TOPN_CAR_K_MIN/MAX 100..1000 (k=10 out of band: serial zone walk owns it, car/serial 1.00-1.16; above 1000 unmeasured, fail toward incumbent); decide-list entry gated on the knob spelling + band (killed/out-of-band = the GL-COST-TOPN-1 guard-off keep-Gather byte-exactly); dist confirms -17ce/-7912 and dup band -743c/-0282 @ 48b0e56c0d reproduce the verdict	witnessed-v2
CbTopnBoundedIntKeys	rectangle_max_rows	0	rows	-376a/-3d75/-7436/-7d0c/-4b35	27db94812	2026-07-21	scripts/sortecon-topn-ladder.sh	PGRUST_M5_TOPN_RECT	GL-COST-TOPN-1 GUARD-OFF: the GL-SORTECON-3 min_dop=4 re-flip (ratified on rt/SERIAL only) is retired — the four-posture ladder (forced GATHER MERGE + floors-live STOCK legs, LIMIT {10,1000} axis) witnessed ZERO best-of-four wins for the arm: LIMIT 1000 forced GM beats it 2.89-9.77x at every 250k-10M x dop1-16 cell (gm/serial 0.115-0.495 — GM owns the whole measured k=1000 plane); LIMIT 10 the serial zone walk beats it 1.33-1.75x (zone-min cutoff skips ~99% granules; the arm's zone predicate failed to refuse); stock (un-pinned engine=runtime@ncpu) delivered the arm at dop16 losing 3.78-10.0x vs GM at k=1000. Guarded off at every size (the hjrider max_rows=0 precedent); PGRUST_M5_TOPN_RECT=1 restores the rectangle for A/B + one-train rollback; SE-TOPNNI keeps its OWN min_dop=4 floor (reuse severed; GL-TOPNNI-1 record). REOPEN: a GM-legged ladder on the dup/zone-hostile band (its rt/serial 0.09-0.49 wins were never GM-checked)	witnessed-v2
HeapCmpFoldPrefix	c_engage	199319.8	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapCmpFoldPrefix	w_row	1.1983	legacy-row-equiv/row	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapCmpFoldPrefix	l_setup	164041.4	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapCmpFoldPrefix	l_cap	7.32	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapCmpFoldPrefix	n_min_fit	100000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	c_engage	257515.3	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	w_row	0.3037	legacy-row-equiv/row	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	l_setup	552913.9	legacy-row-equiv	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	l_cap	6.88	workers	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	n_min_fit	2500000.0	rows	-66c9/-0f09/-3ad6/-2686/-47ad/-58be/-17f3/-11d5/-683a	c517fec04	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_RUNTIME	-	witnessed-v2
HeapPlainCountStar	admission_min_pages	8192	pages	-6b53/-0591/-4e08/-5020/-4082/-6632	2159563ff	2026-07-14	scripts/m5-rowflip-measure-e2e.sh	PGRUST_RUNTIME	rowdrive 64MB block-floor MIRROR (m5-5 reading #3) — applied in every cost-route mode, never retired by the curve	structural
CbHashJoinPlainAgg	seat_overlap_cell	1000000@dop4	cell	seat: 4aae/3fa8/1877/3862 @ f7022d98e; curve: v2 grid @ c517fec04	5cb157edd	2026-07-21	scripts/m5-rowflip-measure-v2.sh	PGRUST_LANE_V2_HJPROBE_V2	t36 PINNED DEBT: the GL-HJSEAT-2 seat lift suppresses seat-shaped joins (exactly one bare int4=int4 equi clause) BEFORE the curve wiring at EVERY size; its witnessed band starts at 2.5M while the curve witnessed a 1.319x rt/legacy loss at 1M@dop4 — the overlap needs a seat-ON witnessed cell at 1M@dop4 (spec L5, notes/runtime-cost-ladder-specs.md) or a curve gate on the seat path; the seat path IS census-instrumented (finish_seat_lifted notes wl=suppress vs model)	unwitnessed-debt
