function	c2rust_loc	our_loc	verdict	perfect_match	note
CacheInvalidateRelcache	inval.rs:2723	cache_invalidate.rs:197	MATCH	yes	relisshared via IsSharedRelation(relid)
CacheInvalidateRelcacheAll	inval.rs:2735	cache_invalidate.rs:218	MATCH	yes
CacheInvalidateRelcacheByTuple	inval.rs:2739	cache_invalidate.rs:227	MATCH	yes
CacheInvalidateRelcacheByRelid	inval.rs:2753	cache_invalidate.rs:244	MATCH	yes	RELOID lookup via seam; not-found ERROR
CacheInvalidateRelSync	inval.rs:2791	cache_invalidate.rs:279	MATCH	yes
CacheInvalidateRelSyncAll	inval.rs:2795	cache_invalidate.rs:294	MATCH	yes
CacheInvalidateSmgr	inval.rs:2799	cache_invalidate.rs:304	MATCH	yes	MAX_BACKENDS_BITS<=23 static assert; hi/lo split; sent immediately
CacheInvalidateRelmap	inval.rs:2809	cache_invalidate.rs:320	MATCH	yes
CacheRegisterSyscacheCallback	inval.rs:2816	cache_invalidate.rs:331	MATCH	yes	link-chain head/append; FATAL on bad id/out-of-slots
CacheRegisterRelcacheCallback	inval.rs:2918	cache_invalidate.rs:377	MATCH	yes	FATAL on out-of-slots
CacheRegisterRelSyncCallback	inval.rs:2960	cache_invalidate.rs:396	MATCH	yes	FATAL on out-of-slots
CallSyscacheCallbacks	inval.rs:3002	cache_invalidate.rs:418	MATCH	yes	ERROR on bad id; link walk; callbacks snapshotted
CallRelSyncCallbacks	inval.rs:3053	cache_invalidate.rs:448	MATCH	yes
LogLogicalInvalidations	inval.rs:3064	at_eoxact.rs:479	MATCH	yes	xl_xact_invals header; per-subgroup XLogRegisterData; XLogInsert(RM_XACT_ID)
