function	c2rust_loc	our_loc	verdict	perfect_match	note
UnregisterSnapshotNoOwner	snapmgr.rs:2010	lib.rs:727	MATCH	yes	regd_count--, remove-when-zero, free + SnapshotResetXmin when both zero.
xmin_cmp	snapmgr.rs:2020	lib.rs:151 (registered_min_xmin)	MATCH	yes	pairing-heap min-by-xmin reproduced by Vec scan w/ wraparound-aware TransactionIdPrecedes; only min consumed, observationally equal.
SnapshotResetXmin	snapmgr.rs:2037	lib.rs:754	MATCH	yes	active-nonempty early return; empty->Invalid; else advance to min xmin if MyProc->xmin precedes; MyProc->xmin via proc seam.
AtSubCommit_Snapshot	snapmgr.rs:2056	lib.rs:779	MATCH	yes	walk top-down (rev iter), stop at as_level<level, relabel to level-1.
AtSubAbort_Snapshot	snapmgr.rs:2070	lib.rs:793	MATCH	yes	pop while as_level>=level, active_count--, free-when-zero, SnapshotResetXmin.
AtEOXact_Snapshot	snapmgr.rs:2090	lib.rs:819	MATCH	yes	FirstXactSnapshot removal, exported-file unlink (WARNING) + registered removal, InvalidateCatalogSnapshot, commit-time leak WARNINGs, state reset, conditional SnapshotResetXmin, final assert.
ExportSnapshot	snapmgr.rs:2229	lib.rs:899	MATCH	yes	subxact guard (25001), committed-children, path %08X-%08X-%d, copy+pseudo-register, full text serialization incl. addTopXid + sof overflow branch, tmp-write+rename, basename return.
pg_export_snapshot	snapmgr.rs:2560	lib.rs:1003	MATCH	yes	wraps ExportSnapshot(GetActiveSnapshot); fmgr text-Datum wrapping is systemic fmgr deferral.
parseIntFromText	snapmgr.rs:2567	lib.rs:1061	MATCH	yes	prefix check, %d scan, newline advance; errors SQLSTATE 22P02.
parseXidFromText	snapmgr.rs:2705	lib.rs:1070	MATCH	yes	%u scan variant.
parseVxidFromText	snapmgr.rs:2843	lib.rs:1079	MATCH	yes	%d/%u into vxid.
ImportSnapshot	snapmgr.rs:2985	lib.rs:1131	MATCH	yes	fresh-xact guard, isolation guard, idstr charset check (incl. empty non-special), file read/ENOENT, full field parse w/ xcnt/subxcnt bounds, validity, serializable-source restrictions, cross-db check, SetTransactionSnapshot.
XactHasExportedSnapshots	snapmgr.rs:3672	lib.rs:1290	MATCH	yes	!exported.is_empty().
DeleteAllExportedSnapshotFiles	snapmgr.rs:3676	lib.rs:1009	MATCH	yes	dir read (fd seam, LOG-on-error/skip ./..), unlink each w/ LOG-on-failure.
ThereAreNoPriorRegisteredSnapshots	snapmgr.rs:3739	lib.rs:1295	MATCH	yes	empty or singular.
HaveRegisteredOrActiveSnapshot	snapmgr.rs:3749	lib.rs:1300	MATCH	yes	active->true; catalog-only singular->false; else non-empty.
SetupHistoricSnapshot	snapmgr.rs:3762	lib.rs:1317	MATCH	yes	sets historic + tuplecid_data (*mut HTAB, real type); signature matches C (Snapshot, HTAB *).
TeardownHistoricSnapshot	snapmgr.rs:3770	lib.rs:1324	MATCH	yes	clears both.
HistoricSnapshotActive	snapmgr.rs:3775	lib.rs:1332	MATCH	yes	historic.is_some().
HistoricSnapshotGetTupleCids	snapmgr.rs:3779	lib.rs:1338	MATCH	yes	returns *mut HTAB tuplecid_data; Assert(HistoricSnapshotActive()) mirrored.
EstimateSnapshotSpace	snapmgr.rs:3783	lib.rs:1356	MATCH	yes	24-byte header + xcnt + (subxcnt when not overflow-or-recovery); add_size/mul_size overflow-ereport -> plain usize (differs only on impossible inputs).
SerializeSnapshot	snapmgr.rs:3807	lib.rs:1369	MATCH	yes	byte-exact LE SerializedSnapshotData (24B); subxcnt zeroed on overflow-and-not-recovery; xip/subxip appended.
RestoreSnapshot	snapmgr.rs:3865	lib.rs:1408	MATCH	yes	inverse of Serialize; copied=true, counts 0, snapXactCompletionCount=0.
RestoreTransactionSnapshot	snapmgr.rs:3939	lib.rs:1280	MATCH	yes	SetTransactionSnapshot(snapshot,NULL,InvalidPid,source_pgproc); INVALID_PID=-1 matches miscadmin.h:32.
XidInMVCCSnapshot	snapmgr.rs:3951	lib.rs:1458	MATCH	yes	range check (wraparound-aware), non-recovery full/overflow branches w/ SubTransGetTopmostTransaction seam + xmin recheck, recovery branch searching subxip.
ResOwnerReleaseSnapshot	snapmgr.rs:3992	lib.rs:727 (target)	MATCH	yes	resowner release callback -> UnregisterSnapshotNoOwner; callback wiring is the dissolved resowner registry.
