function	c2rust_loc	our_loc	verdict	perfect_match(yes|no)	note
lazy_truncate_heap	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:4779	crates/backend-access-heap-vacuumlazy/src/truncate.rs:54	MATCH	yes	Truncate loop with lock retries matches.
count_nondeletable_pages	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:4942	crates/backend-access-heap-vacuumlazy/src/truncate.rs:166	MATCH	yes	Backward scan for nondeletable pages matches.
dead_items_alloc	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5081	crates/backend-access-heap-vacuumlazy/src/dead_items.rs:26	MATCH	yes	TID store / parallel-vacuum alloc matches.
dead_items_add	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5163	crates/backend-access-heap-vacuumlazy/src/dead_items.rs:85	MATCH	yes	TID store add matches.
dead_items_reset	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5186	crates/backend-access-heap-vacuumlazy/src/dead_items.rs:107	MATCH	yes	TID store reset matches.
dead_items_cleanup	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5202	crates/backend-access-heap-vacuumlazy/src/dead_items.rs:128	MATCH	yes	TID store cleanup matches.
heap_page_is_all_visible	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5209	crates/backend-access-heap-vacuumlazy/src/heap_vacuum.rs:251	MATCH	yes	Per-tuple visibility classification + internal elog(ERROR) preserved.
update_relstats_all_indexes	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5337	crates/backend-access-heap-vacuumlazy/src/index.rs:163	MATCH	yes	Index relstats update matches.
vacuum_error_callback	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5363	crates/backend-access-heap-vacuumlazy/src/errcb.rs:36	MATCH	yes	errcontext message construction matches (returns Option<String>).
update_vacuum_error_info	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5473	crates/backend-access-heap-vacuumlazy/src/errcb.rs:104	MATCH	yes	Phase/block/offset save matches.
restore_vacuum_error_info	backend-access-heap-vacuumlazy/src/vacuumlazy.rs:5489	crates/backend-access-heap-vacuumlazy/src/errcb.rs:124	MATCH	yes	Restore of saved error info matches.
