# proofs/strings-scalar runqueue — byteain pass-one + toast header
# accessors + btvarstrequalimage (tail-triage strings/toast-hdr group).
# PRE-BUILD LANE 2026-07-29: harnesses written + codegen-gated ONLY
#   (cargo kani --only-codegen -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c : PASS, exit 0).
# ZERO kani/cbmc solves have been run. Expected classes are claim-before-code
# triage, not verdicts.
#
# Run from proofs/strings-scalar/, ONE harness at a time, own-process-group
# kill on timeout. kissat for expected-green; DEFAULT solver for controls,
# covers, and anything being decoded (kissat never terminates on failing
# harnesses). Judge near-cap runs on CBMC-reported Verification Time under
# multi-lane load. -Z stubbing is load-bearing on every line (mcx +
# cached_arg_typlen + PgError stubs).
#
# Ledger bookkeeping (rows to update at solve time):
#   1244 byteain (escape pass-one; \x arm fenced -> proofs/hex)
#   1269 pg_column_size    2121 pg_column_compression
#   6316 pg_column_toast_chunk_id    5050 btvarstrequalimage
# Ledger wording owed on green: "value-space only; modulo static-buffer
# allocator model + typlen/locale seam (identical both sides)".
#
# harness | expected | tier | command
proofs::eq_byteain_escape_verdict         | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_byteain_escape_verdict --exact    # expect: PROVED(len<=8, escape style; hex arm fenced) — pass-two stores in formula but unread; if it walls, drop to len<=6 before recording
proofs::control_toast_typlen_skew         | MUST-FAIL | control      | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --harness proofs::control_toast_typlen_skew --exact                         # expect: VERIFICATION FAILED w/ counterexample (typlen seam load-bearing)  # REPAIRED 2026-07-29: concrete 3-byte image + dummy_mcx (registry retain sweep walled the symbolic plane); FAILS on the intended typlen check in 0.3s locally
proofs::eq_btvarstrequalimage             | GREEN     | per-commit   | timeout 75 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --solver kissat --harness proofs::eq_btvarstrequalimage --exact              # expect: PROVED(full-u32 collid x full det seam; C/POSIX pinned true) — inline covers may cost extra kissat batches; if slow retry DEFAULT
proofs::control_btvarstrequalimage_det_skew | MUST-FAIL | control    | timeout 350 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_strings_scalar.c --harness proofs::control_btvarstrequalimage_det_skew --exact               # expect: VERIFICATION FAILED (locale-det seam load-bearing)
#
# NOTES (claim-before-code):
# - eq_byteain_escape_verdict compares verdict + count + image LENGTH only;
#   pass-two derived-offset stores are still in the formula (unread). If the
#   SAT residue walls, the scalar projection precedent (cash lane law 2)
#   says shrink the cap, not the claim.
# - byteain \x arm: fenced + C-side -2 trap asserted unreached. Formal hex
#   coverage lives in proofs/hex (mcx-stubs recipe).
# - pg_column_size cstring plane carries BOTH a C strlen and a Rust
#   CStr::from_ptr scan — if CStr has no Kani model this becomes
#   blocked(tool) for the plane, varlena/fixed planes stand alone.
# - indirect/expanded toast arms: out of theorem (C traps, fence asserted).
#   Re-open only with a pointee-modeling rig (brin pg_read16 pattern).
