# adt/geo residual-line accounting — p1-geo-inc3 (INC-3/3b), 2026-08-01.
# Coverage of record: proofs/coverage-inc3/geo/ (merge-coverage.py, SLOC v2, const tables
# excluded; fuzz lcov = geo_io_diff + geo_ops_diff FINAL fleet floors at the code-final sha,
# coverage-fixed runner a9f7920ab). Every residual line is classified below; NO open gaps remain.
# Classes: denominator-carve | instrument-macro-invocation | instrument-residual-in-fuzzed-fn |
#          defensive-contract-guard | parity-dead-branch | const-eval-only
file	lines	class	note
crates/backend/utils/adt/geo/src/builtins.rs	364-378	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: box relational fc list; driven by fixed ops 115-128 + 78 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	382-386	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: box_lt..box_eq fc list; driven by fixed ops 59-63 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	395-400	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: unary f8 fc list; driven by fixed ops 64-66,101-102,49 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	403	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: fc1! head (circle_radius); driven by fixed op 103 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	432-435	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: box arith fc list; driven by fixed ops 70-73 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	459-460,463-469	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: lseg relational fc list; driven by fixed ops 40-48,41-42 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	472,475	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: fc1! heads (lseg vert/horiz); driven by fixed ops 51-52 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	494-497	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: line relational fc list; driven by fixed ops 32-35 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	500,503	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: fc1! heads (line vert/horiz); driven by fixed ops 37-38 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	522,525-543	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: circle relational fc list; driven by fixed ops 79-96,105-106 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	552-555	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: circle_pt arith fc list; driven by fixed ops 97-100 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	580-585,588-589	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: on/inter fc list; driven by fixed ops 22-29 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	605-610	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: close fc list; driven by fixed ops 16-21 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	628-632	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: path_n_* invocation list; driven by geo_ops_diff var ops 32-36 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	736-739	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: path_pt fc list; driven by conv ops 1,12-14 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	774-782	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: poly relational fc list; driven by var ops 19-26,14 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	799-801	instrument-macro-invocation	llvm attributes macro-generated fn coverage to the macro DEFINITION body (fc*! lines false-UNCOVERED tree-wide, coverage-measurement 2026-07-30); the generated wrapper named on this line IS differentially driven: poly overlap/contain fc list; driven by var ops 11-13 fc plane
crates/backend/utils/adt/geo/src/builtins.rs	827	parity-dead-branch	fc_poly_distance NULL arm: poly_distance have_min is set on the first seg pair and npts>=1 always (recv/in reject npts<1), so !have_min is dead — C geo_ops.c poly_distance carries the IDENTICAL dead PG_RETURN_NULL
crates/backend/utils/adt/geo/src/builtins.rs	933-940,944	const-eval-only	const fn b() + GEO_BUILTINS head evaluate at compile time; llvm-cov has no runtime mapping. The TABLE is exercised at runtime by both targets (fcb() resolution)
crates/backend/utils/adt/geo/src/circle.rs	125,132,139,146	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(CIRCLE {
crates/backend/utils/adt/geo/src/circle.rs	208	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(Point {
crates/backend/utils/adt/geo/src/io.rs	298	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): false,
crates/backend/utils/adt/geo/src/io.rs	299	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): 2,
crates/backend/utils/adt/geo/src/io.rs	301	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): false,
crates/backend/utils/adt/geo/src/io.rs	388	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): true,
crates/backend/utils/adt/geo/src/io.rs	389	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): 2,
crates/backend/utils/adt/geo/src/io.rs	391	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): false,
crates/backend/utils/adt/geo/src/io.rs	427	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): true,
crates/backend/utils/adt/geo/src/io.rs	428	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): 2,
crates/backend/utils/adt/geo/src/io.rs	430	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): false,
crates/backend/utils/adt/geo/src/io.rs	556,559	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): true,
crates/backend/utils/adt/geo/src/io.rs	616,619	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): false,
crates/backend/utils/adt/geo/src/io.rs	707	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(Point {
crates/backend/utils/adt/geo/src/io.rs	715	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): high: Point {
crates/backend/utils/adt/geo/src/io.rs	719	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): low: Point {
crates/backend/utils/adt/geo/src/io.rs	734	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(LSEG {
crates/backend/utils/adt/geo/src/io.rs	735	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): p: [
crates/backend/utils/adt/geo/src/io.rs	736,740	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Point {
crates/backend/utils/adt/geo/src/io.rs	764	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): center: Point {
crates/backend/utils/adt/geo/src/io.rs	786,802	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(Point {
crates/backend/utils/adt/geo/src/lib.rs	118	parity-dead-branch	pg_hypot underflow return: result = x*sqrt(1+(y/x)^2) >= x > 0 for the reachable operands (x!=0, non-NaN/Inf handled above), so result==0.0 is dead — C float.h pg_hypot carries the identical dead check
crates/backend/utils/adt/geo/src/lib.rs	131	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): "invalid input syntax for type {type_name}: \"{orig}\""
crates/backend/utils/adt/geo/src/lib.rs	403	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): )?;
crates/backend/utils/adt/geo/src/line.rs	83	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): -1.0,
crates/backend/utils/adt/geo/src/line.rs	151	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): let x;
crates/backend/utils/adt/geo/src/line.rs	152	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): let y;
crates/backend/utils/adt/geo/src/line.rs	193	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): )?))
crates/backend/utils/adt/geo/src/lseg.rs	91	instrument-residual-in-fuzzed-fn	struct-literal/argument/let-decl continuation line the llvm line table leaves unmapped inside a function the 10M campaigns demonstrably execute (surrounding lines covered): Ok(Point {
crates/backend/utils/adt/geo/src/poly.rs	228	parity-dead-branch	poly_distance !have_min return: dead for npts>=1 (see builtins.rs:827); C identical
crates/backend/utils/adt/geo/src/ws_tests.rs	21-28,30-31,34-35,37,39,43,428-436,440,446-449,451-452,455-456	denominator-carve	workspace shared fixtures; carved exactly as tests.rs/tests_full.rs (p1-laner INC-1 ruling)
