# Per-line coverage exceptions (LIT-REVIEW-100PCT §5.1/§8 discipline).
# Row = {file, line, class, c_counterpart, justification, author, review}.
# class ∈ defensive-c-parity | unreachable-arm | platform-other | debug-only.
# Governance: rows enter by PR review only; counted per crate in standings.
# Prefer promotion to a Kani infeasibility proof where the fence is cheap.
#
# MEASUREMENT NOTES (not exceptions — executed lines the instrument leaves
# unmapped, the known multiline-format!-literal false-red class):
#   crates/common/percentrepl/src/lib.rs:43,46 — string-literal continuation
#     lines of format!() inside the EXECUTED unknown-placeholder error arm
#     (neighbors carry DA=317 in the strfam capture 2026-07-30); llvm-cov
#     emits no DA record for them. Board flag: macro_attrib/merge-coverage
#     does not credit multiline format! literals.
#   crates/common/wait_error/src/lib.rs:101 — same class, signaled arm
#     (neighbors DA=5).
#
# p1-lanee batch (2026-07-31) — MEASUREMENT NOTES, adjudicated residual of the
# encoding-batch merge (adt_ascii + base64; fleet 10M + local lcov union,
# 147/161 v2-SLOC): none of the 14 residual lines is reachable-untested
# logic; eyeballed per the pre-share rendered-red audit rule.
#   CONST DATA TABLES the v2 table-exclusion heuristic missed (denominator-
#   exclusion candidates; content certified by proofs + the 10M-exec fleet
#   differential):
#     crates/backend/utils/adt/adt_ascii/src/lib.rs:17-24 (LATIN1/2/9+WIN1250
#       maps, b"..." literal form; C ascii.c in-function string literals),
#       :144 (ASCII_BUILTINS registry head)
#     crates/common/base64/src/lib.rs:7 (B64LOOKUP; cells exercised by
#       proofs/hashenc eq_b64_decode_len0..8 symbolic bytes)
#   CONST-EVAL-ONLY fns, no runtime code (laned int8 const-table-machinery
#   precedent): adt_ascii/src/lib.rs:140-141.
#   MULTILINE format!-LITERAL continuation of an EXECUTED arm (known llvm-cov
#   unmapped class, lanec precedent): adt_ascii/src/lib.rs:113
#   (conversion_not_supported ctor, neighbors covered).
#   DECLARATION-ONLY line, no code emitted: base64/src/lib.rs:76 (`let b`).
#   (crypto/hash-family residuals belong to p1-lanef, the claim of record.)
#   p1-lanef (crypto/hash + tables batches): 32 residual lines are RECORDED AS
#     ROWS in proofs/coverage/lanef/residual-rows-lanef.tsv (auto-exceptions.tsv
#     column shape and semantics; 4 reproduced by --auto-exceptions, 28
#     hand-classified with the blocking classifier gap named in
#     lanef/AUTO-EXCEPTIONS-GAPS.md). Reconciled: crypto 275/295, tables
#     127/139, combined 402/434.
file	line	class	c_counterpart	justification	author	review
crates/backend/utils/adt/quote/src/builtins.rs	32	unreachable-arm	src/include/utils/fmgrprotos.h + pg_proc.dat registration (no runtime C counterpart)	const fn b(...) registration-constructor signature — compile-time only (SLOC-RULE-V2 known-remainder const-fn class; rides the tables ruling)	p1-laner	pending
crates/backend/utils/adt/quote/src/builtins.rs	33	unreachable-arm	src/include/utils/fmgrprotos.h + pg_proc.dat registration (no runtime C counterpart)	const fn b(...) FmgrBuiltin struct-literal body — compile-time only	p1-laner	pending
crates/backend/utils/adt/quote/src/builtins.rs	37	unreachable-arm	pg_proc.dat rows 1282/1283/1289	QUOTE_BUILTINS const-table head (auto:table-head in the capture) — compile-time only	p1-laner	pending
#
# p1-localtime batch (2026-08-01) — MEASUREMENT NOTES for the localtime_diff
# fleet capture (campaign 2, job pgrust-fuzz-campaign-1785606182-4a59-35906):
#   crates/backend/timezone/localtime/src/clock.rs:414 — opening line of the
#     multi-line leap-hit return tuple in leap_correction; NO DA record while
#     neighbors 413/415/416 carry DA=99 (the leap-hit path executes). Known
#     instrument-unmapped multiline-expression class.
#   crates/backend/timezone/localtime/src/load.rs:140 — `Some(Self {` opening
#     line of TzifHeader::parse_at's result; no DA record, field lines
#     141-147 carry DA=3559.
#   crates/backend/timezone/localtime/src/clock.rs:164 — `other => other`
#     repeat-branch pass-through arm of next_dst_boundary_impl; campaign-3
#     lcov records DA=0 there while the banked seed
#     fuzz/corpus/localtime_diff/m3-nyc-repeat-notransition demonstrably
#     executes it (replay with an eprintln planted in the arm prints
#     REACHED-164; permanent asserting witness = tests.rs
#     probe_nyc_extended_last_at). Region-attribution false-red on a trivial
#     binding arm.
crates/backend/timezone/localtime/src/clock.rs	70	unreachable-arm	src/timezone/localtime.c:1382-1385 (gmtsub offset!=0 wildabbr arm)	identical dead arm in C: pg_gmtime is gmtsub's only caller and always passes offset 0 ("no time for a treasure hunt"); gmtsub is private on both sides	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	108	defensive-c-parity	src/timezone/localtime.c:1274-1282 (localsub repeat-mapping range check, comment "cannot happen")	C's own trailing range check on the 400-year repeat mapping, kept verbatim; 10M-exec campaign incl. int64 extreme seeds on goahead zones never fired it (mapping math lands in range)	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	153	defensive-c-parity	src/timezone/localtime.c pg_next_dst_boundary repeat-mapping overflow return (-1 arm)	same cannot-happen mapping check on the boundary path; Overflow verdict compared whenever it fires (mode 3 plane)	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	348	defensive-c-parity	src/timezone/localtime.c:1478-1481 (timesub idays<0 loop increment_overflow goto out_of_range)	infeasible post-first-loop: the tdays loop's own overflow gate (covered, line 324) bounds y before these loops; C keeps the same dead guard; increment_overflow itself proved full-domain (eq_increment_overflow)	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	355	defensive-c-parity	src/timezone/localtime.c:1484-1488 (timesub idays>=yearlen loop overflow guard)	same as line 348	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	361	defensive-c-parity	src/timezone/localtime.c:1490-1492 (tm_year TM_YEAR_BASE overflow guard)	reachable only for y within 1900 of INT_MIN, which the first-loop gate excludes; C-identical guard	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	408	unreachable-arm	src/timezone/localtime.c:1428 (timesub sp==NULL leap arm)	crate-internal timesub is always called with Some(sp) (localsub/gmtsub both pass a state), mirroring C where no PG-facing entry passes NULL	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	438	unreachable-arm	none (C reads sp->chars[tt_desigidx] unchecked, localtime.c:1337)	Rust-side WILDABBR guard with NO C counterpart: desigidx is validated < charcnt at load (localtime.c:341-343 / load.rs parse_tzif_block) and set 0/dst_index by tzparse, so out-of-range cannot occur; guard exists because Rust cannot do C's unchecked read. FLAGGED for review as an added-in-Rust arm	p1-localtime	pending
crates/backend/timezone/localtime/src/clock.rs	441	unreachable-arm	none (same as line 438)	same as line 438 (index >= chars.len() arm)	p1-localtime	pending
crates/backend/timezone/localtime/src/lib.rs	108-109	unreachable-arm	none (Rust convenience impl)	impl Default for TzState: no shipped caller (pgtz uses TzState::new(); repo grep clean); value-identity with new() witnessed by unit test default_and_clone_are_value_identical_to_new	p1-localtime	pending
crates/backend/timezone/localtime/src/lib.rs	114-115	unreachable-arm	none (Rust convenience impl)	impl Clone for TzState: same as 108-109	p1-localtime	pending
crates/backend/timezone/localtime/src/lib.rs	171	proof-covered-unmeasured	src/timezone/localtime.c:626-629 (mon_lengths tables)	MON_LENGTHS const line; proved(full-domain) by proofs/localtime-arith eq_mon_lengths (SUITE.tsv); tree-wide kani join converts to measured credit	p1-localtime	pending
crates/backend/timezone/localtime/src/lib.rs	194	proof-covered-unmeasured	src/timezone/localtime.c:1546-1556 (increment_overflow)	increment_overflow overflow arm; proved(full-domain) by eq_increment_overflow incl. the true-verdict arm + must-fail control	p1-localtime	pending
crates/backend/timezone/localtime/src/load.rs	35	unreachable-arm	src/timezone/localtime.c:233-235 (pg_open_tzfile fid<0)	the pg_open_tzfile PgError escape arm: the differential seam (environment mock of pgtz.c's file open) returns bytes or NotFound, never an ereport; the erroring open is pgtz.c surface, phase-1 state-seam carve	p1-localtime	pending
crates/backend/timezone/localtime/src/load.rs	103	defensive-c-parity	src/timezone/localtime.c:606-609 (typesequiv range guard)	C-identical guard; both sides only call typesequiv with types[] entries already validated < typecnt at load	p1-localtime	pending
crates/backend/timezone/localtime/src/load.rs	118	defensive-c-parity	src/timezone/localtime.c:150-158 (differ_by_repeat TYPE_BIT check)	compile-time-false arm on 64-bit pg_time_t (63 >= SECSPERREPEAT_BITS=34), identical constant fold in C on LP64	p1-localtime	pending
crates/backend/timezone/localtime/src/load.rs	637-638	defensive-c-parity	src/timezone/localtime.c:1054-1058 (tzparse janfirst backward overflow break)	infeasible for 64-bit pg_time_t: janfirst starts at 0 and moves at most ~200 years of seconds; C-identical dead break for LP64	p1-localtime	pending
crates/backend/timezone/localtime/src/load.rs	675	defensive-c-parity	src/timezone/localtime.c:1112-1114 (tzparse janfirst forward overflow break)	same as 637-638	p1-localtime	pending
#
# p1-localtime scan_fgram batch (2026-08-01) — MEASUREMENT NOTES for the
# scan_diff fleet capture (campaign 3, job pgrust-fuzz-campaign-1785616207-311a-34421):
#   crates/backend/parser/scan_fgram/src/lex.rs:335,423 — argument lines of
#     the executed downcase/truncate calls (enclosing call lines carry
#     DA=4573 / DA=620772; arguments evaluate unconditionally); :337,425 —
#     same calls, explicit DA=0 region artifact on the `self.encoding`
#     argument line.
#   crates/backend/parser/scan_fgram/src/lex.rs:596-597 — string-literal
#     continuation lines of the executed nonstandard-backslash-quote warning
#     errhint (arm lines carry DA=2900); the known multiline-literal class.
#   COMPILE-TIME ITEMS (no runtime execution exists): lib.rs:8,11 (include!
#     lines for the build.rs-generated tokens/keyword_tokens modules),
#     lib.rs:117-120 (pub const None const item), dfa.rs:11-12,15
#     (const fn t + include! — t is only invoked in const context building
#     the OUT_DIR flex tables).
crates/backend/parser/scan_fgram/src/lex.rs	117	defensive-c-parity	src/backend/parser/scan.l rule {xnstart} (nchar lookup else-arm)	identical dead arm in C: "nchar" is unconditionally present in kwlist.h, so ScanKeywordLookup never returns <0; the IDENT fallback exists in C verbatim and is equally unreachable	p1-localtime	pending
crates/backend/parser/scan_fgram/src/lex.rs	652-657	platform-other	src/backend/parser/scan.l addunicode (pg_unicode_to_server non-UTF8 arm, 0A000)	non-UTF8 server encoding carve: harness pins UTF-8 both sides (module-header encoding pin, asserted every exec); the 0A000 arm fires only for server encodings the phase-1 C-locale/UTF-8 cell excludes	p1-localtime	pending
crates/backend/parser/scan_fgram/src/lex.rs	699-734	platform-other	src/common/encnames.c pg_enc2name_tbl (data table)	encoding_name match table; sole consumer is the non-UTF8 0A000 arm above (same carve); C counterpart is a data table excluded from the denominator by the tables ruling	p1-localtime	pending
crates/backend/parser/scan_fgram/src/lib.rs	343	platform-other	src/backend/parser/scan.l scanner_errposition -> pg_mbstrlen_with_len	invalid-encoding fallback of parser_errposition_source: unreachable for validated query text (protocol layer verifies before the raw parser; in-source comment says so); the harness gates on validity with a TWO-SIDED agreement assert so the carve can never be one-sided	p1-localtime	pending
crates/backend/parser/scan_fgram/src/dfa.rs	55	defensive-c-parity	flex yy_get_previous_state/yy_try_NUL_trans (scan.c generated tables)	NUL-rescan verify-mismatch break: reachable only when the rescan meets a class-256 (NUL) transition absent from the forward scan; interior NULs are outside the comparable domain (scanner_init cstring contract, module-header carve), and the forward scan mismatch arm is fuzz-covered	p1-localtime	pending
crates/backend/parser/scan_fgram/src/dfa.rs	64	defensive-c-parity	flex YY_FATAL_ERROR scanner-is-jammed (scan.c)	the jammed-scanner guard: flex emits the same unconditional fatal; unreachable while the tables are the verified flex artifact (build.rs bounds proof at the unchecked indexing relies on the same invariant)	p1-localtime	pending
#
# p1-waveb brin_bloom batch (2026-08-01) — residual closure for the
# brin_bloom_diff unit (proofs/coverage/p1-waveb-bloom evidence). Capture:
# LOCAL full-corpus cov-export (fleet floor pending task #91 rebase).
# MEASUREMENT NOTES (no rows; counted as measurement-note lines in the
# lane summary.tsv equation):
#   crates/backend/access/brin/brin_bloom/src/builtins.rs:62-64 — `const fn b`
#     builtin-row constructor: invoked ONLY in const context building the
#     BLOOM_BUILTINS table (compile-time item, no runtime execution exists);
#     the known const-eval class (scan_fgram COMPILE-TIME ITEMS precedent).
crates/backend/access/brin/brin_bloom/src/builtins.rs	7-10	proof-covered-unmeasured	src/backend/access/brin/brin_bloom.c:775-795,821-836 (summary_in/recv ereport)	cannot_accept: shared error body of fc_summary_in/fc_summary_recv; proved by proofs/brin-bloom eq_summary_in (ledger 4596, error-class-only 0A000) + eq_summary_recv (4598) per SUITE.tsv; tree-wide kani join converts to measured credit	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	12-14	proof-covered-unmeasured	src/backend/access/brin/brin_bloom.c:775-795 (brin_bloom_summary_in)	fc_summary_in: proved by proofs/brin-bloom eq_summary_in (ledger 4596, error-class-only 0A000)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	16-18	proof-covered-unmeasured	src/backend/access/brin/brin_bloom.c:821-836 (brin_bloom_summary_recv)	fc_summary_recv: proved by proofs/brin-bloom eq_summary_recv (ledger 4598, error-class-only 0A000)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	35-38	proof-covered-unmeasured	src/backend/access/brin/brin_bloom.c:838-842 (brin_bloom_summary_send = byteasend)	fc_summary_send: byteasend delegation proved by proofs/brin-bloom eq_summary_send_l0/_l8 (ledger 4599, identity cells len 0/8 + must-fail lastbyte control)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	40-45	excluded-state	src/backend/access/brin/brin_bloom.c:745-773 (brin_bloom_options)	fc_options: fc wrapper over LocalRelopts registry state (init_local_reloptions/add_local_real_reloption twins) — function-grain excluded(state) row oid 4595, the lane-0b uuid builtins precedent; the parsed-options CONSUMERS (BloomGetNDistinctPerRange/FalsePositiveRate fall-backs and clamps) are fuzz-covered through the driver's options image presets	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	49	excluded-state	src/backend/access/brin/brin_bloom.c:745-773 (brin_bloom_options)	same as 40-45 (add_real argument lines)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	52	excluded-state	src/backend/access/brin/brin_bloom.c:745-773 (brin_bloom_options)	same as 40-45	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/builtins.rs	59-60	excluded-state	src/backend/access/brin/brin_bloom.c:745-773 (brin_bloom_options)	same as 40-45 (offset argument + Ok return)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/lib.rs	116	platform-other	src/include/varatt.h VARATT_IS_4B_C WORDS_BIGENDIAN branch	big-endian arm of the runtime-const `if cfg!(target_endian)` in varatt_is_compressed; phase-1 cell is little-endian on every platform of record (macOS/Linux aarch64+x86_64); dead code under LE exactly as C's #ifdef branch is untokenized	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/lib.rs	261	unreachable-arm	src/backend/utils/fmgr/fmgr.c FunctionCall1Coll error propagation (longjmp, no explicit arm)	the `?` Err-propagation region of the pinned-hash FunctionCall1Coll (llvm-cov maps it to the closing-paren line; lines 256-260/262 carry DA=781): hashint4 is infallible on both sides (fc_hashint4 returns Ok unconditionally; C hashint4 cannot ereport), so the Err edge cannot fire with the opclass's hash proc menu (hashint2/4/8/etc are all infallible)	p1-waveb	pending
crates/backend/access/brin/brin_bloom/src/lib.rs	265	defensive-c-parity	src/backend/access/brin/brin_bloom.c:648-652 (consistent default: elog "invalid strategy number")	C-identical "shouldn't happen" arm: the bloom opclass has a single operator (BloomEqualStrategyNumber=1) so bringetbitmap can never deliver another strategy; Rust panic! mirrors C elog(ERROR); not in-process comparable (panic aborts the fuzz exec), strategy pinned to 1 in the driver	p1-waveb	pending
# --- brin_minmax_multi (lane p1-waveb, unit p1-waveb-mm; target brin_minmax_multi_diff, capture proofs/coverage/p1-waveb-mm/) ---
# MEASUREMENT NOTE (not an exception): builtins.rs:341-343 `const fn b` is
#   const-evaluated (the MINMAX_MULTI_BUILTINS table it builds is registered
#   and dispatched by every fuzz exec); llvm-cov can observe no runtime
#   execution of const-eval code. Board flag: const-eval/merge-coverage.
crates/backend/access/brin/brin_minmax_multi/src/builtins.rs	302	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:3049-3053 (accumArrayResult; palloc ereports on OOM)	`?`-propagation edge of accum_array_result: only Err source is allocator OOM (mcx); value/verdict planes of the executed call are fuzz-compared (summary_out cstring plane)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/builtins.rs	319	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:3083-3087 (accumArrayResult values loop)	same as builtins.rs:302 (values-loop accumulation edge)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/builtins.rs	337-339	proof-covered-unmeasured	src/backend/access/brin/brin_minmax_multi.c:3133-3137 (summary_send = byteasend)	fc_summary_send proved (ledger 4641, proofs/brin-minmax send_proofs: byteasend-delegation identity, must-fail control verified) + crate unit test summary_send_is_byteasend; tree-wide kani join converts to measured credit	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/builtins.rs	345-358	unreachable-arm	src/backend/access/brin/brin_minmax_multi.c:2953-2965 (brin_minmax_multi_options; init_local_reloptions state)	fc_options is the ledger excluded(state) row (4620): LocalRelopts registration is reloptions/DDL state surface, out of the phase-1 pure-function differential domain; values_per_range SEMANTICS (clamp band + zero-default) are fuzz-compared through the opclass-options image both sides consume	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	90	platform-other	src/include/varatt.h VARATT_IS_4B_C big-endian arm	cfg(target_endian=big) arm of varatt_is_compressed; campaign hosts are little-endian	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	156	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2537 (range_add_value call; C errors abort via ereport)	`?`-propagation edge; only Err source below is allocator OOM (comparator/distance PgResults are Ok on the wired domain, witnessed by 220k+ zero-divergence execs)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	193	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2618 (FunctionCall2Coll)	`?` edge of call_bool in the BTEqual consistent arm; same OOM-only rationale as lib.rs:156	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	199	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2624-2626	`?` edge of the equal-arm lt lookup; same class	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	207	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2648-2652 (elog ERROR invalid strategy)	invalid-strategy panic: bringetbitmap only emits strategies 1..5 (driver clamps identically); panic!() is the executable claim, C elogs at the same program point	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	226	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2687-2689 (SK_ISNULL continue)	NULL scankeys are filtered in bringetbitmap before consistent (the first loop Asserts none); C carries the same dead continue in its values loop	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	237	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2707-2711 (elog ERROR invalid strategy)	same as lib.rs:207 (values-loop arm)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	307	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:2836-2838 (reduce_expanded_ranges)	`?` edge of the union reduce call; OOM-only	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	348	unreachable-arm	src/backend/access/brin/brin_minmax_multi.c:2881-2886 (ereport invalid opclass definition)	missing-support-function panic: every wired opfamily row carries proc 11 (pg_amproc.dat @ pinned sha); a bogus-opfamily probe cannot be driven in the fuzz binary (panic=abort); panic!() is the executable claim at C's ereport point	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	384	unreachable-arm	src/backend/access/brin/brin_minmax_multi.c:2936-2938 (elog missing operator)	missing-operator panic: wired pg_amop rows cover strategies 1..5 for every wired type; same executable-claim rationale as lib.rs:348	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	106	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:542-544 (qsort_arg; comparator cannot ereport)	`?` edge of pg_qsort_arg over compare_values; OOM-only	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	116	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:550-552	`?` edge of the dedup compare; OOM-only	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	153-159	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:630-639/695-701/780-786/826-835 (cstring typlen -2 arms)	cstring_len: no brin minmax_multi opfamily covers a typlen==-2 type at the pinned sha (pg_amproc.dat families: integer/numeric/timetz/datetime/oid/tid/float/macaddr/macaddr8/network/time/interval/uuid/pg_lsn); C carries the same live-but-unreachable arms	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	187-188	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:630-639	serialize cstring length arm (188 is the region-exit line of the same branch); see ranges.rs:153-159	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	217	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:695-701	serialize cstring copy arm; see ranges.rs:153-159	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	238	unreachable-arm	src/include/access/tupmacs.h fetch_att case sizeof(char)	byval width-1 fetch arm: no 1-byte-typlen minmax_multi opclass exists at the pinned sha; widths 2/4/8 are fuzz-covered (int2/int4/int8 column modes)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	242	defensive-c-parity	src/include/access/tupmacs.h fetch_att default (elog unsupported byval length)	unsupported-width panic mirrors C's elog; typlen comes from the pinned pg_type rows (2/4/8 only)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	282-284	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:780-786	deserialize datalen cstring arm; see ranges.rs:153-159	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	312	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:826-835	deserialize copy cstring arm; see ranges.rs:153-159	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	424	debug-only	src/backend/access/brin/brin_minmax_multi.c:1778-1780 (Assert(range_contains_value(...)))	miss-tail of range_contains_value(full=true): the only full=true caller is range_add_value's debug_assert on the value it JUST added, which is always found; the false tail = invariant violation	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	548	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:1362-1364 (distance FunctionCall2Coll)	`?` edge of the distance call in build_distances; OOM-only (distance fns on the wired domain return Ok, 220k+ execs)	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	712	defensive-c-parity	src/backend/access/brin/brin_minmax_multi.c:1676-1678	`?` edge of reduce_expanded_ranges in ensure_free_space_in_buffer; OOM-only	p1-waveb	pending
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	760	debug-only	src/backend/access/brin/brin_minmax_multi.c:1778-1780	closing edge of range_add_value's debug_assert!(range_contains_value(..., true)) — the assert's Err/false edge; invariant-unreachable	p1-waveb	pending
