# proofs/aclcheck runqueue — WAVE 9 ACL privilege seam re-opens
# (compile-only pre-build 2026-07-28; ZERO solves run — solver slots saturated).
# Compile gate PASSED: cargo kani --only-codegen -Z c-ffi -Z stubbing (exit 0).
# One line per harness. Run from proofs/aclcheck/. RSS watchdog + one-at-a-time
# per prove-target skill. kissat for expected-green; DEFAULT solver for
# controls/covers/probe (kissat never terminates on failing harnesses).
# State-seam calibration says fc-level harnesses land release-gate tier;
# add --no-assertion-reach-checks if per-assert reach checks fake-wall
# (state-seam-probe lesson: reach-checks x kissat on deep loops).
#
# NOTE eq_aclitemout_named compares a data-dependent-length output image:
# expect the CNF-width law (result-image claims wall); if it walls, record
# wall(CNF width-bound) and keep the two spot harnesses as the 1032 coverage.
# NORMALIZED 2026-07-29 (maintenance lane): canonical 4-col pipe rows
#   <harness> | <expected> | <tier> | <command>
# expected legend: green = expect success; must-fail = negative control /
#   expected-fail witness (pass condition is VERIFICATION FAILED with a
#   decodable counterexample); info = probe / ladder / wall-risk row (verdict
#   recorded, not gated). Harness names fully qualified (module::name) so
#   --exact matches (TRIAGE RVR lesson: bare names never match nested modules).

# (file-local var K expanded into the rows below at normalization)
#   K="cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c"

# ---- table 1922-1927 (pg_class route: system-catalog strip, superuser,
# acldefault/stored-ACL decode, aclmask, read/write/maintain fixups) ----
proofs::eq_has_table_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_table_privilege_id_id --exact   # oid 1925 — expect PROVED (release-gate)
proofs::eq_has_language_privilege_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_language_privilege_name --exact   # oid 2266

# ---- schema 2268-2273 (pg_namespace route; temp-namespace arm fenced OFF) ----
proofs::eq_has_schema_privilege_id_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_id_id --exact   # oid 2271
proofs::eq_has_schema_privilege_name_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_name_id --exact   # oid 2269
proofs::eq_has_schema_privilege_id | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_id --exact   # oid 2273
proofs::eq_has_schema_privilege_name_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_name_name --exact   # oid 2268
proofs::eq_has_schema_privilege_id_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_id_name --exact   # oid 2270
proofs::eq_has_schema_privilege_name | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_has_schema_privilege_name --exact   # oid 2272

# ---- LITERAL priv-string spots (map entries outside the len<=8 band) ----
proofs::spot_table_references | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_table_references --exact   # "REFERENCES"
proofs::spot_table_select_wgo | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_table_select_wgo --exact   # "SELECT WITH GRANT OPTION"
proofs::spot_table_list | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_table_list --exact   # "SELECT, INSERT"
proofs::spot_database_temporary | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_database_temporary --exact   # "TEMPORARY"
proofs::spot_schema_usage_wgo | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_schema_usage_wgo --exact   # "USAGE WITH GRANT OPTION"

# ---- io family ----
proofs::eq_aclitemin_len8 | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_aclitemin_len8 --exact   # oid 1031 (len<=8 + spots)
proofs::spot_aclitemin_literals | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_aclitemin_literals --exact   # oid 1031 quoted/keyword/grantor literal
proofs::eq_aclitemout_named | info | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_aclitemout_named --exact   # oid 1032 — CNF-width risk, see header | wall-risk: data-dependent-length output image — CNF-width law (header NOTE); spots are the 1032 coverage of record
proofs::spot_aclitemout_numeric | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::spot_aclitemout_numeric --exact   # oid 1032 numeric-fallback spot

# ---- error stubs + acldefault_sql ----
proofs::eq_aclinsert | green | per-commit | timeout 60 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --harness proofs::eq_aclinsert --exact   # oid 1035 — expect PROVED (fast)
proofs::eq_aclremove | green | per-commit | timeout 60 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --harness proofs::eq_aclremove --exact   # oid 1036 — expect PROVED (fast)
proofs::eq_acldefault_sql | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --no-assertion-reach-checks --harness proofs::eq_acldefault_sql --exact   # oid 3943 (valid-char domain)
proofs::spot_acldefault_sql_bad_char | green | per-commit | timeout 60 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --solver kissat --harness proofs::spot_acldefault_sql_bad_char --exact   # oid 3943 error arm

# ---- covers (DEFAULT solver; SAT direction is the cheap one) ----
proofs::cover_table_id_id_regimes | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::cover_table_id_id_regimes --exact   # expect: all covers SATISFIED
proofs::cover_aclitemin_regimes | green | release-gate | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::cover_aclitemin_regimes --exact   # expect: all covers SATISFIED

# ---- controls (DEFAULT solver; MUST FAIL with decodable counterexamples) ----
proofs::control_membership_skew | must-fail | control | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::control_membership_skew --exact   # expect: VERIFICATION FAILED (seam load-bearing)
proofs::control_catalog_owner_skew | must-fail | control | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::control_catalog_owner_skew --exact   # expect: VERIFICATION FAILED (catalog seam load-bearing)
proofs::control_priv_map_mismatch | must-fail | control | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::control_priv_map_mismatch --exact   # expect: VERIFICATION FAILED (plain-logic control)

# ---- known-divergence probe (DEFAULT solver; expected FAIL — this is a
# DIVERGENCE CANDIDATE, not a rig defect: Rust IsSystemClass lacks C's
# isTempToastNamespace arm; adjudicate + ground-truth vs docker postgres:18
# before recording anything) ----
proofs::probe_system_class_temp_toast | info | probe | timeout 600 cargo kani -Z c-ffi -Z stubbing --c-lib c/pg_aclcheck.c --harness proofs::probe_system_class_temp_toast --exact   # DIVERGENCE CANDIDATE probe, expected FAILED; adjudicate + ground-truth vs docker postgres:18 before recording (header)

# Additional pre-screened divergence candidate for the run lane (no harness
# yet, cheap to add): C-locale isspace trims \v (0x0B) in
# convert_any_priv_string chunks; Rust trims with char::is_ascii_whitespace,
# which EXCLUDES \v — "SELECT\x0B" C-accept / Rust-reject. The symbolic
# eq_* harnesses (len<=8, bytes 1..=127) will surface it if real.
